Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
Mud-Bite,5.0,"there is a very little known about mud bite. this strain supposedly originated in ketchikan, alaska among an enclave of float houses. when the tide receded and the float houses sank, they came to rest on the cold, muddy seafloor, which was referred to as the mud bight. this 75% indica-dominant strain is possibility a long lost descendant of afghani genetics transplanted in alaska sometime in the early to mid 70’s.    ",Euphoric,Relaxed,Sleepy,Uplifted,Giggly,,,,2,little known mud bite strain supposedly originated ketchikan alaska among enclave float houses tide receded float houses sank came rest cold muddy seafloor referred mud bight strain possibility long lost descendant afghani genetics transplanted alaska sometime early mid
Murkle,2.0,"murkle by obsoul is the accidental genetic pairing of an m-39 mother and a purple urkle father. obsoul noted the strain’s fast vegetation cycle and an abundance of rock-hard colas mature over the plant’s lifecycle. murkle’s aroma and flavor are that of grape candy, speaking to its paternal genetics, even though this phenotype does not share that strain’s purple hue. enjoy murkle later in the day to maximize its indica-dominant effects.  ",Giggly,,,,,None,,,2,murkle obsoul accidental genetic pairing mother purple urkle father obsoul noted strain fast vegetation cycle abundance colas mature plant lifecycle murkle aroma flavor grape candy speaking paternal genetics even though phenotype share strain purple hue enjoy murkle later day maximize effects
Nl5-Haze-Mist,4.3,"nl5 haze mist by green house seeds is a classic sativa-dominant strain that mixes genetics from northern lights #5, haze, and kali mist. though primarily cerebral in effect, nl5 haze mist also provides a light body buzz that eases muscles into relaxation. this sativa brings a newfound vibrancy to the senses, allowing you to unlock creativity and appreciation of your surroundings. ",Happy,Euphoric,Relaxed,Uplifted,Creative,Earthy,Sweet,Tropical,1,haze mist green house seeds classic strain mixes genetics northern lights haze kali mist though primarily cerebral effect haze mist also provides light body buzz eases muscles relaxation sativa brings newfound vibrancy senses allowing unlock creativity appreciation surroundings
Ny-Cheese,4.3,"ny cheese, a rumored hybrid cross between cheese and nyc diesel, provides cerebrally-focused euphoria that stimulates creativity, conversation, and a positive mood. good for daytime use, ny cheese delivers its effects with a spark of energy that helps you stay productive and focused. this sativa-dominant strain is a great way to bring your appetite back to life or for knocking down stress while going about your day.",Hungry,Happy,Creative,Uplifted,Energetic,Earthy,Woody,Cheese,0,ny cheese rumored hybrid cross cheese nyc diesel provides euphoria stimulates creativity conversation positive mood good daytime use ny cheese delivers effects spark energy helps stay productive focused strain great way bring appetite back life knocking stress going day
Ny-47,4.2,"ny-47 is a potent, sativa-leaning blend that combines nyc diesel with ak-47 and provides balanced effects. the large colas are fairly dense and have a grapefruit flavor that is accented by subtle fruity and diesel undertones. the effects of ny-47 are euphoric and energetic which can be great for those who like to stay active and explore the outdoors. ",Hungry,Euphoric,Uplifted,Energetic,Relaxed,Diesel,Citrus,Grapefruit,0,potent blend combines nyc diesel provides balanced effects large colas fairly dense grapefruit flavor accented subtle fruity diesel undertones effects euphoric energetic great like stay active explore outdoors
Nyc-Diesel,4.2,"bred by soma sacred seeds, nyc diesel (or soma sour diesel) is a 60% sativa-dominant cross between mexican and afghani landraces. this strain provides strong cerebral effects that ease into a deep, full-body relaxation over time. a pungent lime and grapefruit aroma is the mark of a high quality batch, like those that won this strain five cannabis cup trophies in the early 2000s. nyc diesel’s happy, talkative qualities make this hybrid a good choice for social activities and many anxiety-prone consumers praise it for its paranoia-free effects.",Happy,Uplifted,Relaxed,Energetic,Euphoric,Diesel,Earthy,Pungent,0,bred soma sacred seeds nyc diesel soma sour diesel cross mexican afghani landraces strain provides strong cerebral effects ease deep relaxation time pungent lime grapefruit aroma mark high quality batch like strain five cannabis cup trophies early nyc diesel happy talkative qualities make hybrid good choice social activities many consumers praise effects
Nypd,4.2,"nypd, or new york power diesel, is a 70/30 sativa-dominant hybrid bred by nirvana seeds, who crossed aurora indica with a mexican sativa called eldorado. with its dueling indica and sativa genetics, nypd delivers a balanced effect that is neither racy nor lethargic, but a happy in-between. its name is derived from its funky diesel aroma which is sweetened by the citrusy smell of lemons. ",Uplifted,Happy,Relaxed,Giggly,Focused,Flowery,Pine,Earthy,1,nypd new york power diesel hybrid bred nirvana seeds crossed aurora indica mexican sativa called eldorado dueling indica sativa genetics nypd delivers balanced effect neither racy lethargic happy name derived funky diesel aroma sweetened citrusy smell lemons
Narnia,4.8,"narnia, a strain produced by soulshine cannabis and developed by advanced growing technologies, is the stimulating sativa-dominant cross of jack herer and trainwreck. it has an incredibly fast onset, imbuing consumers with an amplified sense of their imaginations while promoting upbeat physical activity. this long-lasting strain has massive trichome production and a terpene profile rich with citrus tang, spice, and a touch of sweetness. enjoy narnia to enhance mood, encourage creativity, and nullify lethargy. ",Happy,Creative,Euphoric,Uplifted,Energetic,Sweet,Citrus,Spicy/Herbal,1,narnia strain produced soulshine cannabis developed advanced growing technologies stimulating cross jack herer trainwreck incredibly fast onset imbuing consumers amplified sense imaginations promoting upbeat physical activity strain massive trichome production terpene profile rich citrus tang spice touch sweetness enjoy narnia enhance mood encourage creativity nullify lethargy
Nebula,4.4,"the nebula marijuana strain was bred by paradise seeds in 1996. its name means 'starcloud' and it has been known to 'twinkle' with thc coating, with a head and body buzz described as intense and almost psychedelic. the buds have been known to smell and taste like honey, and flowering time is a minimum of 9 weeks. nebula has won many awards, including 3rd place in the sativa category at the high times cannabis cup in 1999 and 2nd place in 2005. it also took 3rd place at the highlife cup in 2004 in the hydro category, and 1st place at the copa la bella flor spain in 2005.",Uplifted,Happy,Euphoric,Energetic,Creative,Earthy,Honey,Pungent,0,nebula marijuana strain bred paradise seeds name means known thc coating head body buzz described intense almost psychedelic buds known smell taste like honey flowering time minimum weeks nebula many awards including place sativa category high times cannabis cup place also took place highlife cup hydro category place copa la bella flor spain
Nebula-Ii-Cbd,4.4,"nebula ii cbd was bred as a collaboration between paradise seeds and the cbd crew. the 60/40 sativa-dominant strain was bred for its high concentrations of cbd which hover around 7%. the balance of cbd and thc at a 1-to-1 ratio makes nebula ii cbd a top choice for medical cannabis consumers. it introduces itself with a fruity, earthy aroma and carries a hint of honey sweetness. the calming effects of nebula ii cbd ease pain, stress, and a number of other medical ailments without halting energy or productivity.",Focused,Uplifted,Talkative,Creative,Euphoric,Earthy,Spicy/Herbal,Woody,0,nebula ii cbd bred collaboration paradise seeds cbd crew strain bred high concentrations cbd hover around balance cbd thc ratio makes nebula ii cbd top choice medical cannabis consumers introduces fruity earthy aroma carries hint honey sweetness calming effects nebula ii cbd ease pain stress number medical ailments without halting energy productivity
